id,name,security,cost_index
30000001,Tanoo,0.8583240688,0
30000002,Lashesih,0.7516891467,0
30000003,Akpivem,0.8462923524,0
30000004,Jark,0.8170005312,0
30000005,Sasta,0.8143367281,0
30000006,Zaid,0.8642291534,0
30000007,Yuzier,0.9065555105,0
30000008,Nirbhi,0.8821157148,0
30000009,Sooma,0.5778194816,0
30000010,Chidah,0.5390520130,0
30000011,Shenela,0.4569593547,0
30000012,Asabona,0.3228842725,0
30000013,Onsooh,0.4428166329,0
30000014,Shamahi,0.3552422911,0
30000015,Sendaya,0.2939329721,0
30000016,Nazhgete,0.3914970557,0
30000017,Futzchag,0.1722285598,0
30000018,Kazna,0.2312626250,0
30000019,Podion,0.1097049726,0
30000020,Lilmad,0.1604491933,0
30000021,Kuharah,-1.0000000000,0
30000022,Jayneleb,0.1138399570,0
30000023,Fovihi,0.8693943492,0
30000024,Kiereend,0.8408345483,0
30000025,Rashy,0.8032659941,0
30000026,Ordize,0.6955641731,0
30000027,Psasa,0.7499132888,0
30000028,Eshtah,0.7684326314,0
30000029,Lachailes,0.5730512268,0
30000030,Kasrasi,0.5730756770,0
30000031,Mohas,0.6817834382,0
30000032,Hasiari,0.7981876171,0
30000033,Radima,0.7539199524,0
30000034,Alkez,0.7821229099,0
30000035,Nimambal,0.5940505703,0
30000036,Yishinoon,0.4247181820,0
30000037,Uplingur,0.4220693149,0
30000038,Dooz,0.4237288552,0
30000039,Bayuka,0.4007220365,0
30000040,Uzistoon,0.3906456008,0
30000041,Bairshir,0.3640877470,0
30000042,Moh,0.4728350039,0
30000043,Sari,0.3793431217,0
30000044,Faspera,0.1282584758,0
30000045,Jaymass,0.2163113398,0
30000046,Mifrata,0.3038029901,0
30000047,Majamar,0.3691862577,0
30000048,Ihal,0.4927012447,0
30000049,Camal,0.2129768849,0
30000050,Fera,0.4772463535,0
30000051,Juddi,0.6491366386,0
30000052,Maspah,0.7999009765,0
30000053,Ibaria,0.7309787225,0
30000054,Shala,0.7155637584,0
30000055,Zemalu,0.7251585253,0
30000056,Khankenirdia,0.6135958354,0
30000057,Nikh,0.7741984605,0
30000058,Amphar,0.7021869950,0
30000059,Salashayama,0.6655862314,0
30000060,Janus,0.5455705453,0
30000061,Agha,0.7187826208,0
30000062,Iosantin,0.4503433501,0
30000063,Orva,0.5099495888,0
30000064,Zet,0.5696976612,0
30000065,Akhrad,0.3584765248,0
30000066,Pirohdim,0.6286960900,0
30000067,Sharir,0.3968486870,0
30000068,Usroh,0.5974575081,0
30000069,Thiarer,0.5420327808,0
30000070,Gomati,0.3874213238,0
30000071,Jangar,0.5273286254,0
30000072,Nakah,0.3638643384,0
30000073,Irshah,0.4295066450,0
30000074,Hasateem,0.4264964120,0
30000075,Assah,0.2978021987,0
30000076,Tidacha,0.8200990448,0
30000077,Odlib,0.8245166009,0
30000078,Jofan,0.7795482038,0
30000079,Milu,0.7696253176,0
30000080,Yadi,0.7502684757,0
30000081,Buftiar,0.7087412966,0
30000082,Jarizza,0.7654309803,0
30000083,Ejahi,0.7289102352,0
30000084,Asghatil,0.7947781680,0
30000085,Bar,0.6658381295,0
30000086,Sucha,0.6582647871,0
30000087,Gelhan,0.7016764276,0
30000088,Akeva,0.6648348486,0
30000089,Sosa,0.3011790274,0
30000090,Ilahed,0.3159434659,0
